,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[84,85]","[8.329835,11.489072]","[8.766434,11.447250]","[9.197646,11.006688]","[9.109636,10.648871]","[8.852861,10.225963]","[8.526162,9.939262]","[8.382837,9.734686]","[8.271319,9.773859]","[8.278846,9.870911]","[8.277237,10.091143]","[8.466007,10.259625]","[8.497522,10.746281]"
"[85,86]","[8.297953,11.436510]","[8.687986,11.412215]","[9.023270,11.050767]","[9.026284,10.614772]","[8.784006,10.216710]","[8.605384,9.824573]","[8.415507,9.688133]","[8.313849,9.711912]","[8.262302,9.849521]","[8.246792,10.070051]","[8.488243,10.181082]","[8.503141,10.677044]"
"[86,87]","[8.351979,11.344441]","[8.610858,11.459425]","[9.097421,10.971773]","[9.031369,10.628713]","[8.836755,10.182463]","[8.589713,9.828621]","[8.385700,9.666100]","[8.277853,9.673326]","[8.239558,9.803860]","[8.256037,10.014403]","[8.496341,10.141721]","[8.514174,10.633621]"
"[87,88]","[8.260965,11.382696]","[8.702929,11.315434]","[9.082462,10.938310]","[9.004120,10.604103]","[8.772768,10.185954]","[8.571103,9.784686]","[8.372101,9.630902]","[8.232449,9.694976]","[8.239505,9.800317]","[8.243256,10.024799]","[8.516519,10.101912]","[8.567994,10.538563]"
"[88,89]","[8.299043,11.269904]","[8.660100,11.288617]","[9.037987,10.904176]","[8.947232,10.572529]","[8.738452,10.143963]","[8.565092,9.754815]","[8.376487,9.637750]","[8.276756,9.682832]","[8.251094,9.800505]","[8.306294,9.928043]","[8.454747,10.091813]","[8.522809,10.500803]"
"[89,90]","[8.246555,11.250399]","[8.552156,11.306853]","[9.004311,10.872439]","[8.941029,10.561387]","[8.722595,10.166104]","[8.591046,9.704394]","[8.340369,9.584241]","[8.194773,9.628410]","[8.208679,9.714260]","[8.278255,9.875888]","[8.476101,10.031132]","[8.542045,10.440948]"
"[90,91]","[8.227437,11.201470]","[8.560808,11.234418]","[8.905255,10.922521]","[8.948858,10.516610]","[8.708006,10.145602]","[8.603574,9.653163]","[8.336121,9.551035]","[8.167649,9.628018]","[8.193712,9.712479]","[8.208796,9.927948]","[8.482116,9.991659]","[8.520729,10.406842]"
"[91,92]","[8.132418,11.252864]","[8.503613,11.230228]","[8.887425,10.840898]","[8.790950,10.550249]","[8.672604,10.070387]","[8.577466,9.612320]","[8.338212,9.520606]","[8.188505,9.583475]","[8.226074,9.630668]","[8.202801,9.858587]","[8.405003,9.992872]","[8.509516,10.362321]"
"[92,93]","[8.060872,11.233476]","[8.522307,11.124123]","[8.854906,10.807501]","[8.783010,10.513653]","[8.645319,10.059611]","[8.510565,9.634264]","[8.399611,9.408162]","[8.128215,9.598131]","[8.238563,9.584735]","[8.195835,9.835482]","[8.451544,9.900851]","[8.477818,10.321749]"
"[93,94]","[8.151313,11.085890]","[8.448771,11.109894]","[8.805563,10.756924]","[8.733081,10.481379]","[8.618984,10.038748]","[8.533932,9.590620]","[8.337320,9.453648]","[8.112735,9.583735]","[8.212600,9.570706]","[8.166534,9.828490]","[8.424083,9.900705]","[8.496752,10.270559]"
